Timestamp,LeftEyePos_X,LeftEyePos_Y,LeftEyePos_Z,LeftGazeDir_X,LeftGazeDir_Y,LeftGazeDir_Z,RightEyePos_X,RightEyePos_Y,RightEyePos_Z,RightGazeDir_X,RightGazeDir_Y,RightGazeDir_Z,IntersectionPoint_X,IntersectionPoint_Y,IntersectionPoint_Z,DepthVectorStart_X,DepthVectorStart_Y,DepthVectorStart_Z,DepthVectorDir_X,DepthVectorDir_Y,DepthVectorDir_Z,DepthValue,RayHitPos_X,RayHitPos_Y,RayHitPos_Z,LeftBlinkWeight,RightBlinkWeight
3.411355,-0.03138618,-0.3441349,-0.2302351,0.7519969,0.05961986,0.656465,0.02358127,-0.3446835,-0.2649234,0.7165447,0.0609256,0.6948754,0.8776656,-0.2720634,0.5633326,0.2600542,-0.3470439,-0.4141544,0.5330287,0.06471185,0.8436189,1.158683,5.071639,0.2371042,7.201094,0.00,0.00
3.508602,-0.03506097,-0.3441203,-0.227796,0.7187716,0.050295,0.6934246,0.02119875,-0.3442285,-0.2603511,0.6813633,0.05106988,0.7301615,0.8335975,-0.2833372,0.6102301,0.2523218,-0.3446729,-0.394092,0.5002257,0.05278341,0.8642847,1.162027,5.082404,0.1649959,7.95128,0.00,0.00
3.606083,-0.04017641,-0.3444176,-0.2257336,0.2901037,0.03245729,0.9564446,0.01783728,-0.343996,-0.2550463,0.2389352,0.03176126,0.970516,0.3062108,-0.3056631,0.9162757,-0.2236756,-0.345751,-0.1330167,0.4505144,0.03408314,0.8921183,1.176181,5.093831,0.05654049,10.39683,0.00,0.00
3.705692,-0.04806504,-0.3452911,-0.226046,0.2384293,0.01707547,0.9710097,0.01235206,-0.3452833,-0.2500204,0.1862256,0.01691906,0.9823613,0.2368881,-0.3248837,0.9344332,-0.199725,-0.3453105,-0.1658649,0.3687811,0.01725333,0.9293561,1.183936,2.58069,-0.2152271,6.840996,0.00,0.00
3.801075,-0.05585895,-0.3461604,-0.2273478,0.1443638,0.0296972,0.9890789,0.006671891,-0.3459656,-0.2450919,0.09126834,0.02928334,0.9953957,0.1167017,-0.3106627,0.9549181,-0.2065407,-0.3466297,-0.1845893,0.2727754,0.0303516,0.9615988,1.185013,5.24388,0.2598386,19.02947,0.99,0.99
3.914313,-0.06105525,-0.346643,-0.2296175,-0.1488311,0.009987717,0.9888122,0.002614364,-0.346604,-0.242701,-0.1984082,0.009758319,0.9800709,-0.2379249,-0.3347736,0.9454814,-0.4624406,-0.3468887,-0.1471364,0.2012669,0.01086059,0.9794763,1.115512,2.523521,-0.18576,14.38422,0.02,0.00
4.00879,-0.06568061,-0.3462835,-0.2319284,-0.1618618,-0.01576826,0.9866874,-0.001304906,-0.3460838,-0.2409133,-0.2122369,-0.01566128,0.9770927,-0.2582906,-0.3650472,0.9421943,-0.4154041,-0.3473686,-0.1831179,0.1382598,-0.01555714,0.9902738,1.136365,1.613026,-0.5755999,14.34537,0.00,0.00
4.1073,-0.07098462,-0.345285,-0.2350446,-0.1610999,-0.02069309,0.9867212,-0.006125089,-0.3450503,-0.2393092,-0.2125905,-0.02060775,0.9769241,-0.2630633,-0.3699571,0.9414123,-0.3393418,-0.3462559,-0.2173999,0.06566891,-0.02040459,0.9976328,1.161562,0.6218046,-0.6449018,14.38425,0.00,0.00
4.205348,-0.07636528,-0.3459061,-0.237895,-0.3828992,-0.03800904,0.9230079,-0.01137585,-0.344753,-0.2376855,-0.4281805,-0.03813781,0.9028881,-0.5309865,-0.3910346,0.8580012,-0.5281069,-0.3539209,-0.2393515,-0.002622643,-0.03380165,0.9994251,1.097984,-0.5663828,-0.8471913,14.3454,0.00,0.00
4.30416,-0.08098182,-0.3471483,-0.2403228,-0.4267623,-0.05205979,0.9028642,-0.01614078,-0.3455968,-0.2360531,-0.4712767,-0.05224849,0.8804365,-0.5878382,-0.4089786,0.8319892,-0.5165685,-0.3575706,-0.2690059,-0.06452681,-0.04654431,0.99683,1.104496,-1.465106,-1.041763,14.38425,0.00,0.00
